# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
#             85 ns : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
            1455   N   000003fc   002081b3   000003fe   x02_sp     00000001
            1465   N   000003fe   00004e81   00000402   x03_gp     00000000
            1475   N   00000402   00004e39   00000404   x29_t4     00000000
            1485   N   00000404   27d19063   00000406   x28_t3     0000000e
            1495   N   00000406   4e390093   0000040a   ---        --------
            1515   N   0000040a   27d10113   0000040e   x01_ra     ffffffff
            1535   N   0000040e   fff081b3   00000412   x02_sp     ffffffff
            1555   N   00000412   fff00e93   00000416   x03_gp     fffffffe
            1575   N   00000416   00004e3d   0000041a   x29_t4     fffffffe
            1585   N   0000041a   25d19563   0000041c   x28_t3     0000000f
            1595   N   0000041c   00004085   00000420   ---        --------
            1605   N   00000420   80000137   00000422   x01_ra     00000001
            1615   N   00000422   40850113   00000426   x02_sp     80000000
            1635   N   00000426   800081b3   0000042a   x02_sp     7fffffff
            1655   N   0000042a   fff10eb7   0000042e   x03_gp     80000000
            1675   N   0000042e   00004e41   00000432   x29_t4     80000000
            1685   N   00000432   23d19963   00000434   x28_t3     00000010
            1695   N   00000434   000040b5   00000438   ---        --------
            1705   N   00000438   0000412d   0000043a   x01_ra     0000000d
            1715   N   0000043a   0000908a   0000043c   x02_sp     0000000b
            1725   N   0000043c   00004ee1   0000043e   x01_ra     00000018
            1735   N   0000043e   00004e45   00000440   x29_t4     00000018
            1745   N   00000440   23d09263   00000442   x28_t3     00000011
            1755   N   00000442   000040b9   00000446   ---        --------
            1765   N   00000446   0000412d   00000448   x01_ra     0000000e
            1775   N   00000448   00009106   0000044a   x02_sp     0000000b
            1785   N   0000044a   00004ee5   0000044c   x02_sp     00000019
            1795   N   0000044c   00004e49   0000044e   x29_t4     00000019
            1805   N   0000044e   21d11b63   00000450   x28_t3     00000012
            1815   N   00000450   000040b5   00000454   ---        --------
            1825   N   00000454   00009086   00000456   x01_ra     0000000d
            1835   N   00000456   00004ee9   00000458   x01_ra     0000001a
            1845   N   00000458   00004e4d   0000045a   x29_t4     0000001a
            1855   N   0000045a   21d09563   0000045c   x28_t3     00000013
            1865   N   0000045c   00004201   00000460   ---        --------
            1875   N   00000460   000040b5   00000462   x04_tp     00000000
            1885   N   00000462   0000412d   00000464   x01_ra     0000000d
            1895   N   00000464   002081b3   00000466   x02_sp     0000000b
            1905   N   00000466   412d8313   0000046a   x03_gp     00000018
            1925   N   0000046a   00000205   0000046e   x06_t1     00000018
            1935   N   0000046e   00004289   00000470   x04_tp     00000001
            1945   N   00000470   fe5218e3   00000472   x05_t0     00000002
            1955   N   00000472   00004ee1   00000462   ---        --------
            1985   N   00000462   0000412d   00000464   x01_ra     0000000d
            1995   N   00000464   002081b3   00000466   x02_sp     0000000b
            2005   N   00000466   412d8313   0000046a   x03_gp     00000018
            2025   N   0000046a   00000205   0000046e   x06_t1     00000018
            2035   N   0000046e   00004289   00000470   x04_tp     00000002
            2045   N   00000470   fe5218e3   00000472   x05_t0     00000002
            2055   N   00000472   00004ee1   00000476   ---        --------
            2065   N   00000476   00004e51   00000478   x29_t4     00000018
            2075   N   00000478   1fd31663   0000047a   x28_t3     00000014
            2085   N   0000047a   00004201   0000047e   ---        --------
            2095   N   0000047e   000040b9   00000480   x04_tp     00000000
            2105   N   00000480   0000412d   00000482   x01_ra     0000000e
            2115   N   00000482   002081b3   00000484   x02_sp     0000000b
            2125   N   00000484   00000001   00000488   x03_gp     00000019
            2135   N   00000488   00018313   0000048a   ---        --------
            2145   N   0000048a   00000205   0000048e   x06_t1     00000019
            2155   N   0000048e   00004289   00000490   x04_tp     00000001
            2165   N   00000490   fe5217e3   00000492   x05_t0     00000002
            2175   N   00000492   00004ee5   00000480   ---        --------
            2205   N   00000480   0000412d   00000482   x01_ra     0000000e
            2215   N   00000482   002081b3   00000484   x02_sp     0000000b
            2225   N   00000484   00000001   00000488   x03_gp     00000019
            2235   N   00000488   00018313   0000048a   ---        --------
            2245   N   0000048a   00000205   0000048e   x06_t1     00000019
            2255   N   0000048e   00004289   00000490   x04_tp     00000002
            2265   N   00000490   fe5217e3   00000492   x05_t0     00000002
            2275   N   00000492   00004ee5   00000496   ---        --------
            2285   N   00000496   00004e55   00000498   x29_t4     00000019
            2295   N   00000498   1dd31663   0000049a   x28_t3     00000015
            2305   N   0000049a   00004201   0000049e   ---        --------
            2315   N   0000049e   000040bd   000004a0   x04_tp     00000000
            2325   N   000004a0   0000412d   000004a2   x01_ra     0000000f
            2335   N   000004a2   002081b3   000004a4   x02_sp     0000000b
            2345   N   000004a4   00000001   000004a8   x03_gp     0000001a
            2355   N   000004a8   00000001   000004aa   ---        --------
            2365   N   000004aa   00018313   000004ac   ---        --------
            2375   N   000004ac   00000205   000004b0   x06_t1     0000001a
            2385   N   000004b0   00004289   000004b2   x04_tp     00000001
            2395   N   000004b2   fe5216e3   000004b4   x05_t0     00000002
            2405   N   000004b4   00004ee9   000004a0   ---        --------
            2435   N   000004a0   0000412d   000004a2   x01_ra     0000000f
            2445   N   000004a2   002081b3   000004a4   x02_sp     0000000b
            2455   N   000004a4   00000001   000004a8   x03_gp     0000001a
            2465   N   000004a8   00000001   000004aa   ---        --------
            2475   N   000004aa   00018313   000004ac   ---        --------
            2485   N   000004ac   00000205   000004b0   x06_t1     0000001a
            2495   N   000004b0   00004289   000004b2   x04_tp     00000002
            2505   N   000004b2   fe5216e3   000004b4   x05_t0     00000002
            2515   N   000004b4   00004ee9   000004b8   ---        --------
            2525   N   000004b8   00004e59   000004ba   x29_t4     0000001a
            2535   N   000004ba   1bd31563   000004bc   x28_t3     00000016
            2545   N   000004bc   00004201   000004c0   ---        --------
            2555   N   000004c0   000040b5   000004c2   x04_tp     00000000
            2565   N   000004c2   0000412d   000004c4   x01_ra     0000000d
            2575   N   000004c4   002081b3   000004c6   x02_sp     0000000b
            2585   N   000004c6   00000205   000004ca   x03_gp     00000018
            2595   N   000004ca   00004289   000004cc   x04_tp     00000001
            2605   N   000004cc   fe521ae3   000004ce   x05_t0     00000002
            2615   N   000004ce   00004ee1   000004c2   ---        --------
            2645   N   000004c2   0000412d   000004c4   x01_ra     0000000d
            2655   N   000004c4   002081b3   000004c6   x02_sp     0000000b
            2665   N   000004c6   00000205   000004ca   x03_gp     00000018
            2675   N   000004ca   00004289   000004cc   x04_tp     00000002
            2685   N   000004cc   fe521ae3   000004ce   x05_t0     00000002
            2695   N   000004ce   00004ee1   000004d2   ---        --------
            2705   N   000004d2   00004e5d   000004d4   x29_t4     00000018
            2715   N   000004d4   19d19863   000004d6   x28_t3     00000017
            2725   N   000004d6   00004201   000004da   ---        --------
            2735   N   000004da   000040b9   000004dc   x04_tp     00000000
            2745   N   000004dc   0000412d   000004de   x01_ra     0000000e
            2755   N   000004de   00000001   000004e0   x02_sp     0000000b
            2765   N   000004e0   002081b3   000004e2   ---        --------
            2775   N   000004e2   00000205   000004e6   x03_gp     00000019
            2785   N   000004e6   00004289   000004e8   x04_tp     00000001
            2795   N   000004e8   fe5219e3   000004ea   x05_t0     00000002
            2805   N   000004ea   00004ee5   000004dc   ---        --------
            2835   N   000004dc   0000412d   000004de   x01_ra     0000000e
            2845   N   000004de   00000001   000004e0   x02_sp     0000000b
            2855   N   000004e0   002081b3   000004e2   ---        --------
            2865   N   000004e2   00000205   000004e6   x03_gp     00000019
            2875   N   000004e6   00004289   000004e8   x04_tp     00000002
            2885   N   000004e8   fe5219e3   000004ea   x05_t0     00000002
            2895   N   000004ea   00004ee5   000004ee   ---        --------
            2905   N   000004ee   00004e61   000004f0   x29_t4     00000019
            2915   N   000004f0   17d19a63   000004f2   x28_t3     00000018
            2925   N   000004f2   00004201   000004f6   ---        --------
            2935   N   000004f6   000040bd   000004f8   x04_tp     00000000
            2945   N   000004f8   0000412d   000004fa   x01_ra     0000000f
            2955   N   000004fa   00000001   000004fc   x02_sp     0000000b
            2965   N   000004fc   00000001   000004fe   ---        --------
            2975   N   000004fe   002081b3   00000500   ---        --------
            2985   N   00000500   00000205   00000504   x03_gp     0000001a
            2995   N   00000504   00004289   00000506   x04_tp     00000001
            3005   N   00000506   fe5218e3   00000508   x05_t0     00000002
            3015   N   00000508   00004ee9   000004f8   ---        --------
            3045   N   000004f8   0000412d   000004fa   x01_ra     0000000f
            3055   N   000004fa   00000001   000004fc   x02_sp     0000000b
            3065   N   000004fc   00000001   000004fe   ---        --------
            3075   N   000004fe   002081b3   00000500   ---        --------
            3085   N   00000500   00000205   00000504   x03_gp     0000001a
            3095   N   00000504   00004289   00000506   x04_tp     00000002
            3105   N   00000506   fe5218e3   00000508   x05_t0     00000002
            3115   N   00000508   00004ee9   0000050c   ---        --------
            3125   N   0000050c   00004e65   0000050e   x29_t4     0000001a
            3135   N   0000050e   15d19b63   00000510   x28_t3     00000019
            3145   N   00000510   00004201   00000514   ---        --------
            3155   N   00000514   000040b5   00000516   x04_tp     00000000
            3165   N   00000516   00000001   00000518   x01_ra     0000000d
            3175   N   00000518   0000412d   0000051a   ---        --------
            3185   N   0000051a   002081b3   0000051c   x02_sp     0000000b
            3195   N   0000051c   00000205   00000520   x03_gp     00000018
            3205   N   00000520   00004289   00000522   x04_tp     00000001
            3215   N   00000522   fe5219e3   00000524   x05_t0     00000002
            3225   N   00000524   00004ee1   00000516   ---        --------
            3255   N   00000516   00000001   00000518   x01_ra     0000000d
            3265   N   00000518   0000412d   0000051a   ---        --------
            3275   N   0000051a   002081b3   0000051c   x02_sp     0000000b
            3285   N   0000051c   00000205   00000520   x03_gp     00000018
            3295   N   00000520   00004289   00000522   x04_tp     00000002
            3305   N   00000522   fe5219e3   00000524   x05_t0     00000002
            3315   N   00000524   00004ee1   00000528   ---        --------
            3325   N   00000528   00004e69   0000052a   x29_t4     00000018
            3335   N   0000052a   13d19d63   0000052c   x28_t3     0000001a
            3345   N   0000052c   00004201   00000530   ---        --------
